channelId,name,englishName,affiliation,group,subscriptionCount,videoCount,photo
UCJFZiqLMntJufDCHc6bQixg,hololive ホロライブ - VTuber Group,Hololive VTuber Group,Hololive,,1790000,509,https://yt3.ggpht.com/ytc/AMLnZu-FamPA8ofQShmCKY6njRuT9zfTPeY1399Y9yUs1w=s800-c-k-c0x00ffffff-no-rj
UCfrWoRGlawPQDQxxeIDRP0Q,hololive Indonesia,Hololive Indonesia,Hololive,,339000,69,https://yt3.ggpht.com/ytc/AMLnZu8aac2EJS9DCkeCOaVmv-CFxunb3KbSp5DGQdwpcQ=s800-c-k-c0x00ffffff-no-rj
UCotXwY6s8pWmuWd_snKYjhg,hololive English,Hololive English,Hololive,,516000,34,https://yt3.ggpht.com/ytc/AMLnZu8qlq9NWNSS3MkVGlcPUqdh2wynSXf6a2BfTBeIUA=s800-c-k-c0x00ffffff-no-rj
UCWsfcksUUpoEvhia0_ut0bA,holostars ホロスターズ - VTuber Group,Holostars Official,Hololive,,193000,150,https://yt3.ggpht.com/5Jn_OHkOZhZssXXwWopUQZVwnL16EJivvxTDGqVmp4Cah3nLmVTgZMQmfF-SyuMhtFkncyT9Lw=s800-c-k-c0x00ffffff-no-rj
UCp6993wxpyDPHUpavwDFqgg,SoraCh. ときのそらチャンネル,Tokino Sora,Hololive,,1000000,667,https://yt3.ggpht.com/ytc/AMLnZu-Uc3gukr4oNSY05KL9_N5H6pbOZxq7X7Ce6wzh9A=s800-c-k-c0x00ffffff-no-rj-mo
UCutuOO0MBRhlvUclzFMaO0g,CyberLive,CyberLive,Aetheria,CyberLive,3720,7,https://yt3.ggpht.com/LrjqdW8QJvtY7F_rlvll6YQZFh2ou4tpt3I5yv88A-2CIyotjTA6_dQoaSkm63vhLcPUF4TJKA=s800-c-k-c0x00ffffff-no-rj
UC2hWFlqMew61Jy6A8zu5HzQ,Iku Hoshifuri / 星降いく [PRISM Project],Hoshifuri Iku,PRISM,Generation1,50000,432,https://yt3.ggpht.com/ytc/AMLnZu8OVeXdI4KbZw31WuvDDVXXyWZ9icJI4PYOUswG=s800-c-k-c0x00ffffff-no-rj
UCRWF6QSuklmwY3UJHyVTQ1w,Aoi Tokimori / 時守あおい [PRISM Project],Tokimori Aoi,PRISM,Generation1,21900,338,https://yt3.ggpht.com/ytc/AMLnZu8N4sqA154aEEYco4OtpIAs3FnyfWrL1FGHrpEm=s800-c-k-c0x00ffffff-no-rj
UCZfQRuwSLty74QAj55BaKlA,Meno Ibuki / 伊吹めの [PRISM Project],Ibuki Meno,PRISM,Generation1,18200,489,https://yt3.ggpht.com/ytc/AMLnZu9Km0pT2Buq2QeR04DvNmHHpdl93Jk_BD4YhE8y=s800-c-k-c0x00ffffff-no-rj
UCBJFsaCvgBa1a9BnEaxu97Q,Rita Kamishiro / 神代りた [PRISM Project],Kamishiro Rita,PRISM,Generation2,26300,380,https://yt3.ggpht.com/ytc/AMLnZu8yySmwIEBxHP7NsQiocGwNKdh05aM6LzlQTLrT=s800-c-k-c0x00ffffff-no-rj
